seq.links;name;family_name;first_name;party2;party;constituency;house;entity;party.original
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Sadik Ahmetovic;Ahmetovic;Sadik;Klub poslanika Nezavisni blok;independent;RS / Izborna jedinica 3;House of Representatives;RS;Samostalni poslanik
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Damir Arnaut;Arnaut;Damir;Klub poslanika SBBBiH;SBB;FBiH / Izborna jedinica 3;House of Representatives;FBiH;SBB - Fahrudin Radoncic
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Zaim Backovic;Backovic;Zaim;;BPS;FBiH / Izborna jedinica 3;House of Representatives;FBiH;BPS - Sefer Halilovic
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Damir Becirovic;Becirovic;Damir;Klub poslanika DF;DF;FBiH / Izborna jedinica 5;House of Representatives;FBiH;Demokratska fronta - Zeljko Komsic
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Denis Becirovic;Becirovic;Denis;Klub poslanika SDP BiH;SDP BiH;FBiH / Izborna jedinica 5;House of Representatives;FBiH;SDP BiH
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Mensura Beganovic;Beganovic;Mensura;Klub poslanika DF;DF;FBiH / Izborna jedinica 4;House of Representatives;FBiH;Demokratska fronta - Zeljko Komsic
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Borislav Bojic;Bojic;Borislav;Klub poslanika Demokratski narodni savez - DNS;independent;RS / Izborna jedinica 1;House of Representatives;RS;Samostalni poslanik
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Mladen Bosic;Bosic;Mladen;Klub poslanika SDS;SDS;RS / Izborna jedinica 2;House of Representatives;RS;SDS
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Safer Demirovic;Demirovic;Safer;;independent;FBiH / Izborna jedinica 5;House of Representatives;FBiH;Samostalni poslanik
https://www.parlament.ba/Representative/List?page=1&mandateId=8;Sefik Dzaferovic;Dzaferovic;Sefik;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4;House of Representatives;FBiH;SDA
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Mirsad Donlagic;Donlagic;Mirsad;Klub poslanika SBBBiH;SBB;FBiH / Izborna jedinica 5;House of Representatives;FBiH;SBB - Fahrudin Radoncic
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Jasmin Emric;Emric;Jasmin;;A-SDA;FBiH / Izborna jedinica 1;House of Representatives;FBiH;A – SDA – Za evropsku Bosnu i Hercegovinu – Zajedno
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Amir Fazlic;Fazlic;Amir;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 5;House of Representatives;FBiH;SDA
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Maja Gasal-Vrazalica;Gasal-Vrazalica;Maja;Klub poslanika DF;DF;FBiH / Izborna jedinica 3;House of Representatives;FBiH;Demokratska fronta - Zeljko Komsic
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Mirsad Isakovic;Isakovic;Mirsad;Klub poslanika SBBBiH;SBB;FBiH / Izborna jedinica 4;House of Representatives;FBiH;SBB - Fahrudin Radoncic
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Nermina Kapetanovic;Kapetanovic;Nermina;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4;House of Representatives;FBiH;SDA
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Zeljko Komsic;Komsic;Zeljko;Klub poslanika DF;DF;FBiH / Izborna jedinica 3;House of Representatives;FBiH;Demokratska fronta - Zeljko Komsic
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Stasa Kosarac;Kosarac;Stasa;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 3;House of Representatives;RS;SNSD
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Predrag Kozul;Kozul;Predrag;Klub poslanika HDZ BiH - Hrvatski narodni sabor;HDZ Coalition;FBiH / Izborna jedinica 2;House of Representatives;FBiH;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne
https://www.parlament.ba/Representative/List?page=2&mandateId=8;Dordo Krcmar;Krcmar;Dordo;Klub poslanika Demokratski narodni savez - DNS;DNS;RS / Izborna jedinica 1;House of Representatives;RS;DNS
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Borjana Kristo;Kristo;Borjana;Klub poslanika HDZ BiH - Hrvatski narodni sabor;HDZ Coalition;FBiH / Izborna jedinica 1;House of Representatives;FBiH;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Nenad Lalic;Lalic;Nenad;Klub poslanika SDS;SDS;RS / Izborna jedinica 2;House of Representatives;RS;SDS
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Nikola Lovrinovic;Lovrinovic;Nikola;Klub poslanika HDZ BiH - Hrvatski narodni sabor;HDZ Coalition;FBiH / Izborna jedinica 4;House of Representatives;FBiH;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Sasa Magazinovic;Magazinovic;Sasa;Klub poslanika SDP BiH;SDP BiH;FBiH / Izborna jedinica 3;House of Representatives;FBiH;SDP BiH
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Dusanka Majkic;Majkic;Dusanka;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 1;House of Representatives;RS;SNSD
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Milica Markovic;Markovic;Milica;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 2;House of Representatives;RS;SNSD
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Semsudin Mehmedovic;Mehmedovic;Semsudin;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4;House of Representatives;FBiH;SDA
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Mirsad Mesic;Mesic;Mirsad;Klub poslanika SDP BiH;SDP BiH;FBiH / Izborna jedinica 4;House of Representatives;FBiH;SDP BiH
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Miroslav Milovanovic;Milovanovic;Miroslav;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 2;House of Representatives;RS;SNSD
https://www.parlament.ba/Representative/List?page=3&mandateId=8;Momcilo Novakovic;Novakovic;Momcilo;;PDP-NDP;RS / Izborna jedinica 1;House of Representatives;RS;PDP-NDP
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Aleksandra Pandurevic;Pandurevic;Aleksandra;Klub poslanika SDS;SDS;RS / Izborna jedinica 3;House of Representatives;RS;SDS
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Lazar Prodanovic;Prodanovic;Lazar;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 3;House of Representatives;RS;SNSD
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Hazim Rancic;Rancic;Hazim;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 4;House of Representatives;FBiH;SDA
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Asim Sarajlic;Sarajlic;Asim;Klub poslanika SDA;SDA;FBiH / Izborna jedinica 3;House of Representatives;FBiH;SDA
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Salko Sokolovic;Sokolovic;Salko;Klub poslanika Nezavisni blok;independent;FBiH / Izborna jedinica 2;House of Representatives;FBiH;Samostalni poslanik
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Senad Sepic;Sepic;Senad;Klub poslanika Nezavisni blok;independent;FBiH / Izborna jedinica 1;House of Representatives;FBiH;Samostalni poslanik
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Fehim Skaljic;Skaljic;Fehim;Klub poslanika SBBBiH;SBB;FBiH / Izborna jedinica 3;House of Representatives;FBiH;SBB - Fahrudin Radoncic
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Nikola Spiric;Spiric;Nikola;Klub poslanika SNSD;SNSD;RS / Izborna jedinica 1;House of Representatives;RS;SNSD
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Monika Tomic;Tomic;Monika;Klub poslanika HDZ BiH - Hrvatski narodni sabor;HDZ Coalition;FBiH / Izborna jedinica 2;House of Representatives;FBiH;Koalicija HDZ BiH, HSS, HKDU BiH, HSP DR. Ante Starcevic, HSP Herceg-Bosne
https://www.parlament.ba/Representative/List?page=4&mandateId=8;Hanka Vajzovic;Vajzovic;Hanka;Klub poslanika DF;DF;FBiH / Izborna jedinica 3;House of Representatives;FBiH;Demokratska fronta - Zeljko Komsic
https://www.parlament.ba/Representative/List?page=5&mandateId=8;Jovan Vukovljak;Vukovljak;Jovan;Klub poslanika Demokratski narodni savez - DNS;DNS;RS / Izborna jedinica 2;House of Representatives;RS;DNS
https://www.parlament.ba/Representative/List?page=5&mandateId=8;Diana Zelenika;Zelenika;Diana;Klub poslanika HDZ BiH - Hrvatski narodni sabor;HDZ 1990;FBiH / Izborna jedinica 2;House of Representatives;FBiH;HDZ 1990
