seq.links;name;family_name;first_name;party2;party;entity;house;party.original
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Darko Babalj;Babalj;Darko;Klub srpskog naroda;SDS;RS;House of Peoples;SDS
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Barisa Colak;Colak;Barisa;Klub hrvatskog naroda;HDZ;FBiH;House of Peoples;HDZ BiH
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Zdenka Dzambas;Dzambas;Zdenka;Klub hrvatskog naroda;HDZ;FBiH;House of Peoples;HDZ BiH
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Halid Genjac;Genjac;Halid;Klub bošnjačkog naroda;SDA;FBiH;House of Peoples;SDA
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Sead Kadic;Kadic;Sead;Klub bošnjačkog naroda;SDA;FBiH;House of Peoples;SDA
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Mario Karamatic;Karamatic;Mario;Klub hrvatskog naroda;HSS;FBiH;House of Peoples;HSS
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Sredoje Novic;Novic;Sredoje;Klub srpskog naroda;SNSD;RS;House of Peoples;SNSD
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Sifet Podzic;Podzic;Sifet;Klub bošnjačkog naroda;Demokratska;FBiH;House of Peoples;Demokratska fronta - Zeljko Komsic
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Nebojsa Radmanovic;Radmanovic;Nebojsa;Klub srpskog naroda;SNSD;RS;House of Peoples;SNSD
https://www.parlament.ba/Delegate/List?page=1&mandateId=8;Fahrudin Radoncic;Radoncic;Fahrudin;Klub bošnjačkog naroda;SBB;FBiH;House of Peoples;SBB - Fahrudin Radoncic
https://www.parlament.ba/Delegate/List?page=2&mandateId=8;Martin Raguz;Raguz;Martin;Klub hrvatskog naroda;HDZ;FBiH;House of Peoples;HDZ 1990
https://www.parlament.ba/Delegate/List?page=2&mandateId=8;Dragutin Rodic;Rodic;Dragutin;Klub srpskog naroda;DNS;RS;House of Peoples;DNS
https://www.parlament.ba/Delegate/List?page=2&mandateId=8;Safet Softic;Softic;Safet;Klub bošnjačkog naroda;SDA;FBiH;House of Peoples;SDA
https://www.parlament.ba/Delegate/List?page=2&mandateId=8;Ognjen Tadic;Tadic;Ognjen;Klub srpskog naroda;;RS;House of Peoples;
https://www.parlament.ba/Delegate/List?page=2&mandateId=8;Ljilja Zovko;Zovko;Ljilja;Klub hrvatskog naroda;HDZ;FBiH;House of Peoples;HDZ BiH
